	idx	year	Dtype_detail	db	doi	source	title	Author	method	t_Author	t_Country	t_org02	t_org01	t_loc	weight	idx_au	idx_aui
2	EI:20212610546213	2021	1) Article	EI&WoS		Journal of Multiple-Valued Logic and Soft Computing	E-business transformation for organizational management and its impact in the online market	Zhong, Xiaoying (1); Si, Mingyuan (1); Shanthini, A. (2); Savitha, V. (3) 	UTD	Si, Mingyuan	China	#UNKNOWN(NFU)	Nanfang Coll Guangzhou	guangdong, guangzhou; 510970	0.25	EI:20212610546213_au_2	EI:20212610546213_aui_2-1
3	EI:20212610546213	2021	1) Article	EI&WoS		Journal of Multiple-Valued Logic and Soft Computing	E-business transformation for organizational management and its impact in the online market	Zhong, Xiaoying (1); Si, Mingyuan (1); Shanthini, A. (2); Savitha, V. (3) 	UTD	Zhong, Xiaoying	China	#UNKNOWN(NFU)	Nanfang Coll Guangzhou	guangdong, guangzhou; 510970	0.25	EI:20212610546213_au_1	EI:20212610546213_aui_1-1
4	EI:20212610546213	2021	1) Article	EI&WoS		Journal of Multiple-Valued Logic and Soft Computing	E-business transformation for organizational management and its impact in the online market	Zhong, Xiaoying (1); Si, Mingyuan (1); Shanthini, A. (2); Savitha, V. (3) 	UTD_fc	Zhong, Xiaoying	China	#UNKNOWN(NFU)	Nanfang Coll Guangzhou	guangdong, guangzhou; 510970	0.5	EI:20212610546213_au_1	EI:20212610546213_aui_1-1
5	EI:20212610546213	2021	1) Article	EI&WoS		Journal of Multiple-Valued Logic and Soft Computing	E-business transformation for organizational management and its impact in the online market	Zhong, Xiaoying (1); Si, Mingyuan (1); Shanthini, A. (2); Savitha, V. (3) 	UTD_fc	Zhong, Xiaoying	China	#UNKNOWN(NFU)	Nanfang Coll Guangzhou	guangdong, guangzhou; 510970	0.5	EI:20212610546213_auc_1	EI:20212610546213_auci_1-1
6	EI:20182605382559	2017	3) Proceedings	EI		Proceedings of the 7th International Conference on Logistics and Systems Engineering 2017	Predictive study on demand of emergency materials for disaster relief based on RBF neural network - earthquake disasters as examples	Li, Hongyue (1) 	UTD	Li, Hongyue	China	#UNKNOWN(NFU)	Nanfang Coll Guangzhou	guangzhou	1.0	EI:20182605382559_au_1	EI:20182605382559_aui_1-1
7	EI:20182605382559	2017	3) Proceedings	EI		Proceedings of the 7th International Conference on Logistics and Systems Engineering 2017	Predictive study on demand of emergency materials for disaster relief based on RBF neural network - earthquake disasters as examples	Li, Hongyue (1) 	UTD_fc	Li, Hongyue	China	#UNKNOWN(NFU)	Nanfang Coll Guangzhou	guangzhou	0.5	EI:20182605382559_au_1	EI:20182605382559_aui_1-1
8	EI:20182605382559	2017	3) Proceedings	EI		Proceedings of the 7th International Conference on Logistics and Systems Engineering 2017	Predictive study on demand of emergency materials for disaster relief based on RBF neural network - earthquake disasters as examples	Li, Hongyue (1) 	UTD_fc	Li, Hongyue	China	#UNKNOWN(NFU)	Nanfang Coll Guangzhou	guangzhou	0.5	EI:20182605382559_auc_1	EI:20182605382559_auci_1-1
9	EI:20182605373866	2017	3) Proceedings	EI		Proceedings of the 7th International Conference on Logistics and Systems Engineering 2017	Predictive study on demand of emergency materials for disaster relief based on RBF neural network - Earthquake disasters as examples	Li, Hongyue (1) 	UTD	Li, Hongyue	China	#UNKNOWN(NFU)	Nanfang Coll Guangzhou	135, xingang xi rd, guangzhou; 510275	1.0	EI:20182605373866_au_1	EI:20182605373866_aui_1-1
10	EI:20182605373866	2017	3) Proceedings	EI		Proceedings of the 7th International Conference on Logistics and Systems Engineering 2017	Predictive study on demand of emergency materials for disaster relief based on RBF neural network - Earthquake disasters as examples	Li, Hongyue (1) 	UTD_fc	Li, Hongyue	China	#UNKNOWN(NFU)	Nanfang Coll Guangzhou	135, xingang xi rd, guangzhou; 510275	0.5	EI:20182605373866_au_1	EI:20182605373866_aui_1-1
11	EI:20182605373866	2017	3) Proceedings	EI		Proceedings of the 7th International Conference on Logistics and Systems Engineering 2017	Predictive study on demand of emergency materials for disaster relief based on RBF neural network - Earthquake disasters as examples	Li, Hongyue (1) 	UTD_fc	Li, Hongyue	China	#UNKNOWN(NFU)	Nanfang Coll Guangzhou	135, xingang xi rd, guangzhou; 510275	0.5	EI:20182605373866_auc_1	EI:20182605373866_auci_1-1
